Word,DocId:Occurrence
tínhamos,"[(1, 1), (3, 1), (109, 1), (129, 1), (157, 1), (158, 1)]"
anseios,"[(1, 1), (182, 1), (198, 1), (210, 1)]"
apurar,"[(1, 1), (214, 1), (223, 1)]"
facínoras,"[(1, 1)]"
valores,"[(1, 1), (20, 1), (37, 2), (39, 2), (42, 1), (47, 1), (76, 3), (89, 1), (108, 1), (110, 1), (115, 1), (124, 1), (125, 1), (128, 1), (147, 1), (166, 1), (173, 1), (183, 1), (189, 1), (207, 7), (220, 2), (223, 1), (240, 1)]"
mensagem,"[(1, 1), (6, 1), (12, 1), (14, 5), (18, 2), (64, 1), (65, 1), (69, 2), (83, 1), (86, 2), (93, 1), (107, 1), (120, 2), (145, 3), (202, 1), (208, 1), (214, 1), (218, 2), (221, 1), (228, 1), (229, 2)]"
conforme,"[(1, 1), (6, 1), (7, 1), (23, 1), (29, 1), (70, 1), (107, 1), (129, 1), (143, 1), (193, 1), (225, 1), (235, 1), (249, 1)]"
Mendes,"[(1, 2), (168, 1), (243, 3)]"
Interamericana,"[(1, 1), (223, 1)]"
Vladimir,"[(1, 2), (6, 1), (65, 1), (86, 1), (99, 1), (166, 1), (238, 1)]"
chancelado,"[(1, 1)]"
ruptura,"[(1, 1), (9, 1), (25, 1), (65, 1), (83, 1), (143, 1), (152, 1), (166, 1)]"
